Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52WH,52WL,VOLUME,VALUE,No of trades
16-Oct-24,EQ,"1,345.55","1,360.60","1,331.95","1,345.65","1,340.00","1,342.50","1,341.49","1,700.00",831.25,"3,39,541","45,54,91,101.55","30,834"
15-Oct-24,EQ,"1,311.00","1,350.00","1,295.35","1,307.65","1,342.00","1,345.65","1,327.84","1,700.00",831.25,"3,15,241","41,85,91,164.30","35,785"
14-Oct-24,EQ,"1,299.00","1,317.00","1,299.00","1,298.15","1,307.40","1,307.65","1,307.06","1,700.00",831.25,"1,15,251","15,06,40,021.70","17,507"
11-Oct-24,EQ,"1,310.20","1,311.00","1,288.00","1,300.15","1,296.90","1,298.15","1,296.30","1,700.00",831.25,"1,44,824","18,77,35,814.20","14,022"
10-Oct-24,EQ,"1,310.00","1,319.50","1,291.00","1,295.05","1,300.75","1,300.15","1,300.70","1,700.00",831.25,"1,73,681","22,59,07,171.40","17,078"
09-Oct-24,EQ,"1,350.00","1,354.90","1,285.00","1,333.90","1,301.00","1,295.05","1,312.49","1,700.00",831.25,"3,05,576","40,10,65,536.60","27,043"
08-Oct-24,EQ,"1,305.00","1,351.10","1,267.20","1,294.55","1,332.65","1,333.90","1,299.72","1,700.00",831.25,"4,65,274","60,47,28,012.60","37,255"
07-Oct-24,EQ,"1,368.55","1,374.40","1,279.00","1,365.15","1,296.20","1,294.55","1,303.07","1,700.00",831.25,"3,42,690","44,65,49,871.60","48,448"
04-Oct-24,EQ,"1,384.00","1,386.95","1,336.95","1,380.85","1,364.00","1,365.15","1,364.35","1,700.00",831.25,"1,81,220","24,72,48,243.80","22,040"
03-Oct-24,EQ,"1,401.10","1,406.30","1,365.00","1,420.20","1,379.20","1,380.85","1,383.00","1,700.00",831.25,"1,88,069","26,00,99,568.05","21,663"
01-Oct-24,EQ,"1,423.90","1,445.00","1,410.95","1,412.50","1,418.00","1,420.20","1,426.46","1,700.00",831.25,"1,82,323","26,00,77,087.70","20,875"
30-Sep-24,EQ,"1,440.00","1,449.15","1,404.10","1,443.35","1,430.90","1,412.50","1,419.17","1,700.00",831.25,"2,42,644","34,43,52,992.75","16,791"
